"","nct_id","study_type","study_type_n","phase","phase_n","condition_type","condition_type_n","intervention_type","arms","groups","enrollment","enrollment_n","start_date","start_date_yr","completion_date","completion_date_yr","duration","duration_n","study_first_posted","study_first_posted_yr","start_to_nct","status","status_n","status_new","published","published_n","sponsor","sponsor_type","sponsor_type_n","sponsor_num","zip_code","city","state","latitude","longitude","country_num","country","country_n"
"11","NCT00005116","Interventional",1,"N/A",8,"Other",4,"Behavioral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2000-04-01","2000",NA,"Completed",3,"Completed","No",2,"NIDDK","NIH",2,"1",15213,"Pittsburgh","PA",40.443269,-79.95487,1,"US",1
"12","NCT00005479","Observational",2,NA,NA,"Other",4,NA,NA,1,164,"100-1,000","1996-09-01","1996","2009-09-01","2009",12.9993155373032,"10+ years","2000-05-01","2000",3.66324435318275,"Completed",3,"Completed","No",2,"Columbia University","Other",4,"2",10032,"New York","NY",40.840686,-73.94154,1,"US",1
"13","NCT00005665","Interventional",1,"Phase 2",4,"Type 1",1,"Drug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2000-05-01","2000",NA,"Unknown status",10,"Other","No",2,"NCRR","NIH",2,"1",77030,"Houston","TX",29.704584,-95.40466,1,"US",1
"14","NCT00005760","Observational",2,NA,NA,"Other",4,NA,NA,NA,10,"<=50","2000-05-01","2000","2002-01-01","2002",1.67008898015058,"1-2 years","2000-05-01","2000",0,"Completed",3,"Completed","Yes",1,"NICHD","NIH",2,"1",20892,"Bethesda","MD",39.002375,-77.10341,1,"US",1
"15","NCT00006159","Interventional",1,"N/A",8,"Diabetes",3,"Behavioral",NA,NA,NA,NA,"1994-03-01","1994","2004-01-01","2004",9.83709787816564,"5-10 years","2000-08-01","2000",6.42026009582478,"Completed",3,"Completed","Yes",1,"NIDDK","NIH",2,"1",87131,"Albuquerque","NM",35.044339,-106.672872,1,"US",1
"16","NCT00006160","Interventional",1,"N/A",8,"Type 1",1,"Behavioral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2000-08-01","2000",NA,"Completed",3,"Completed","No",2,"NIDDK","NIH",2,"1",NA,NA,NA,NA,NA,1,"US",1
"17","NCT00006162","Interventional",1,"N/A",8,"Other",4,"Behavioral",NA,NA,NA,NA,"1994-10-01","1994","1999-04-01","1999",4.49828884325804,"2-5 years","2000-08-01","2000",5.83436002737851,"Completed",3,"Completed","No",2,"NIDDK","NIH",2,"1",98195,"Seattle","WA",47.432251,-121.803388,1,"US",1
"18","NCT00006163","Interventional",1,"Phase 4",7,"Type 2",2,"Behavioral",NA,NA,NA,NA,"1997-09-01","1997","1999-06-01","1999",1.74674880219028,"1-2 years","2000-08-01","2000",2.91581108829569,"Completed",3,"Completed","Yes",1,"NIDDK","NIH",2,"1",80214,"Denver","CO",39.745526,-105.06251,1,"US",1
"19","NCT00006165","Interventional",1,"N/A",8,"Type 2",2,"Behavioral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2000-08-01","2000",NA,"Completed",3,"Completed","Yes",1,"NIDDK","NIH",2,"1",96813,"Honolulu","HI",21.313033,-157.85615,1,"US",1
"20","NCT00006331","Observational",2,NA,NA,"Diabetes",3,"Procedure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2000-10-01","2000",NA,"Unknown status",10,"Other","No",2,"NCRR","NIH",2,"1",48109,"Ann Arbor","MI",42.291637,-83.71831,1,"US",1
"21","NCT00006426","Interventional",1,"Phase 1",2,"Diabetes",3,"Procedure",NA,NA,60,"50-100","1998-08-01","1998","2003-05-01","2003",4.74743326488706,"2-5 years","2000-11-01","2000",2.25325119780972,"Completed",3,"Completed","Yes",1,"NICHD","NIH",2,"1",63110,"Saint Louis","MO",38.622601,-90.26182,1,"US",1
"22","NCT00006432","Interventional",1,"N/A",8,"Type 2",2,"Procedure",NA,NA,NA,NA,"2000-01-01","2000",NA,NA,NA,NA,"2000-11-01","2000",0.835044490075291,"Completed",3,"Completed","No",2,"NCRR","NIH",2,"4",27710,"Durham","NC",36.051155,-78.857651,1,"US",1
"23","NCT00006505","Interventional",1,"Phase 2",4,"Type 1",1,"Procedure",1,NA,6,"<=50","2000-11-01","2000","2020-06-01","2020",19.5811088295688,"10+ years","2000-11-01","2000",0,"Active, not recruiting",1,"Active, not recruiting","Yes",1,"NIDDK","NIH",2,"1",20892,"Bethesda","MD",39.002375,-77.10341,1,"US",1
"24","NCT00007696","Observational",2,NA,NA,"Diabetes",3,NA,NA,1,1276,"1,000-5,000","1998-04-01","1998",NA,NA,NA,NA,"2001-01-01","2001",2.75427789185489,"Completed",3,"Completed","No",2,"VA Office of Research and Development","US Fed",3,"1",27705,"Durham","NC",36.015992,-78.95911,1,"US",1
"25","NCT00007800","Interventional",1,"Phase 2",4,"Type 2",2,"Behavioral",NA,NA,218,"100-1,000","2000-05-01","2000","2002-05-01","2002",1.99863107460643,"1-2 years","2001-01-01","2001",0.670773442847365,"Completed",3,"Completed","No",2,"NIDDK","NIH",2,"1",35205,"Birmingham","AL",33.497055,-86.8057,1,"US",1
"26","NCT00008801","Interventional",1,"Phase 1/Phase 2",3,"Type 1",1,"Drug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2001-01-01","2001",NA,"Unknown status",10,"Other","No",2,"NCRR","NIH",2,"2",55455,"Minneapolis","MN",44.971965,-93.23588,1,"US",1
"27","NCT00010751","Interventional",1,"Phase 2",4,"Other",4,"Procedure",NA,NA,NA,NA,"1998-09-01","1998","2004-06-01","2004",5.74948665297741,"5-10 years","2001-02-01","2001",2.42026009582478,"Completed",3,"Completed","No",2,"NCCIH","NIH",2,"1",48109,"Ann Arbor","MI",42.291637,-83.71831,1,"US",1
"28","NCT00011141","Interventional",1,"N/A",8,"Diabetes",3,"Drug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2001-02-01","2001",NA,"Completed",3,"Completed","No",2,"NCRR","NIH",2,"1",10021,"New York","NY",40.76842,-73.96045,1,"US",1
"29","NCT00012649","Observational",2,NA,NA,"Diabetes",3,NA,NA,1,480,"100-1,000",NA,NA,"2003-05-01","2003",NA,NA,"2001-03-01","2001",NA,"Completed",3,"Completed","No",2,"VA Office of Research and Development","US Fed",3,"1",94304,"Palo Alto","CA",37.397823,-122.16605,1,"US",1
"30","NCT00012662","Interventional",1,"N/A",8,"Diabetes",3,"Behavioral",1,NA,1800,"1,000-5,000",NA,NA,"2002-12-01","2002",NA,NA,"2001-03-01","2001",NA,"Completed",3,"Completed","No",2,"VA Office of Research and Development","US Fed",3,"1",21201,"Baltimore","MD",39.295306,-76.62118,1,"US",1
"31","NCT00012675","Observational",2,NA,NA,"Diabetes",3,NA,NA,1,0,"<=50",NA,NA,"2003-12-01","2003",NA,NA,"2001-03-01","2001",NA,"Withdrawn",11,"Other","No",2,"VA Office of Research and Development","US Fed",3,"1",1730,"Bedford","MA",42.496679,-71.27504,1,"US",1
"32","NCT00012688","Interventional",1,"N/A",8,"Diabetes",3,"Drug",1,NA,300,"100-1,000",NA,NA,"2003-09-01","2003",NA,NA,"2001-03-01","2001",NA,"Completed",3,"Completed","No",2,"VA Office of Research and Development","US Fed",3,"2",1730,"Bedford","MA",42.496679,-71.27504,1,"US",1
"33","NCT00012753","Interventional",1,"Phase 3",6,"Diabetes",3,"Procedure",1,NA,272,"100-1,000",NA,NA,"1999-12-01","1999",NA,NA,"2001-03-01","2001",NA,"Completed",3,"Completed","No",2,"VA Office of Research and Development","US Fed",3,"1",94304,"Palo Alto","CA",37.397823,-122.16605,1,"US",1
"34","NCT00013052","Interventional",1,"N/A",8,"Diabetes",3,"Behavioral",1,NA,2068,"1,000-5,000",NA,NA,"2002-09-01","2002",NA,NA,"2001-03-01","2001",NA,"Completed",3,"Completed","No",2,"VA Office of Research and Development","US Fed",3,"1",33125,"Miami","FL",25.782176,-80.23607,1,"US",1
"35","NCT00013117","Interventional",1,"N/A",8,"Diabetes",3,"Behavioral",1,NA,10000,"5,000-10,000",NA,NA,"2002-12-01","2002",NA,NA,"2001-03-01","2001",NA,"Completed",3,"Completed","No",2,"VA Office of Research and Development","US Fed",3,"1",44106,"Cleveland","OH",41.507751,-81.60883,1,"US",1
"36","NCT00013208","Interventional",1,"N/A",8,"Diabetes",3,"Behavioral",1,NA,260,"100-1,000",NA,NA,"2002-08-01","2002",NA,NA,"2001-03-01","2001",NA,"Completed",3,"Completed","No",2,"VA Office of Research and Development","US Fed",3,"1",48105,"Ann Arbor","MI",42.307288,-83.70443,1,"US",1
"37","NCT00013299","Interventional",1,"Phase 2",4,"Other",4,"Device",NA,NA,427,"100-1,000","2000-10-01","2000","2001-04-01","2001",0.498288843258042,"<= 1 year","2001-03-01","2001",0.413415468856947,"Completed",3,"Completed","No",2,"VA Office of Research and Development","US Fed",3,"1",NA,NA,NA,NA,NA,1,"US",1
"38","NCT00013910","Interventional",1,"Phase 1",2,"Type 2",2,"Drug",NA,NA,30,"<=50",NA,NA,NA,NA,NA,NA,"2001-04-01","2001",NA,"Completed",3,"Completed","No",2,"NCRR","NIH",2,"1",48109,"Ann Arbor","MI",42.291637,-83.71831,1,"US",1
"39","NCT00014911","Interventional",1,"Phase 2",4,"Type 1",1,"Procedure",1,NA,36,"<=50","2001-04-01","2001","2010-08-01","2010",9.33333333333333,"5-10 years","2001-08-01","2001",0.334017796030116,"Completed",3,"Completed","No",2,"NIAID","NIH",2,"2",33136,"Miami","FL",25.786326,-80.2029,5,"US",1
"40","NCT00015626","Interventional",1,"Phase 2",4,"Other",4,"Drug",NA,NA,300,"100-1,000",NA,NA,NA,NA,NA,NA,"2001-04-01","2001",NA,"Completed",3,"Completed","No",2,"NCRR","NIH",2,"1",10021,"New York","NY",40.76842,-73.96045,1,"US",1
"41","NCT00016835","Interventional",1,"Phase 2",4,"Other",4,"Procedure",3,NA,46,"<=50","2001-10-01","2001","2004-09-01","2004",2.91854893908282,"2-5 years","2001-06-01","2001",-0.334017796030116,"Completed",3,"Completed","No",2,"University of Michigan","Other",4,"2",48109,"Ann Arbor","MI",42.291637,-83.71831,1,"US",1
"42","NCT00017953","Interventional",1,"N/A",8,"Diabetes",3,"Behavioral",2,NA,5145,"5,000-10,000","2001-06-01","2001","2020-01-01","2020",18.5845311430527,"10+ years","2001-06-01","2001",0,"Active, not recruiting",1,"Active, not recruiting","No",2,"NIDDK","NIH",2,"5+",35205,"Birmingham","AL",33.497055,-86.8057,1,"US",1
"43","NCT00018122","Observational",2,NA,NA,"Diabetes",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2001-07-01","2001",NA,"Unknown status",10,"Other","No",2,"NCRR","NIH",2,"2",63110,"Saint Louis","MO",38.622601,-90.26182,1,"US",1
"44","NCT00018239","Interventional",1,"N/A",8,"Diabetes",3,"Procedure",NA,NA,NA,NA,"1999-10-01","1999","2002-09-01","2002",2.91854893908282,"2-5 years","2001-07-01","2001",1.74948665297741,"Completed",3,"Completed","No",2,"VA Office of Research and Development","US Fed",3,"1",21201,"Baltimore","MD",39.295306,-76.62118,1,"US",1
"45","NCT00018616","Interventional",1,"Phase 2",4,"Diabetes",3,"Behavioral",1,NA,79,"50-100","1999-10-01","1999","2005-01-01","2005",5.2539356605065,"5-10 years","2001-07-01","2001",1.74948665297741,"Completed",3,"Completed","No",2,"VA Office of Research and Development","US Fed",3,"1",6516,"West Haven","CT",41.272147,-72.96496,1,"US",1
"46","NCT00021580","Interventional",1,"Phase 1",2,"Diabetes",3,"Procedure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2001-07-01","2001",NA,"Unknown status",10,"Other","No",2,"NCRR","NIH",2,"2",63110,"Saint Louis","MO",38.622601,-90.26182,1,"US",1
"47","NCT00021788","Interventional",1,"Phase 2",4,"Type 1",1,"Procedure",NA,NA,NA,NA,"2000-07-01","2000","2001-12-01","2001",1.41820670773443,"1-2 years","2001-08-01","2001",1.08418891170431,"Completed",3,"Completed","Yes",1,"NIDDK","NIH",2,"1",33136,"Miami","FL",25.786326,-80.2029,1,"US",1
"48","NCT00021801","Interventional",1,"Phase 2",4,"Type 1",1,"Procedure",NA,NA,NA,NA,"2000-03-01","2000","2000-09-01","2000",0.503764544832307,"<= 1 year","2001-08-01","2001",1.41820670773443,"Completed",3,"Completed","Yes",1,"NIDDK","NIH",2,"1",33136,"Miami","FL",25.786326,-80.2029,1,"US",1
"49","NCT00022750","Interventional",1,"N/A",8,"Type 2",2,"Behavioral",NA,NA,800,"100-1,000","2000-10-01","2000","2005-05-01","2005",4.58042436687201,"2-5 years","2001-08-01","2001",0.832306639288159,"Completed",3,"Completed","Yes",1,"NIDDK","NIH",2,"1",21205,"Baltimore","MD",39.301157,-76.57478,1,"US",1
"50","NCT00024518","Interventional",1,"Phase 2",4,"Type 1",1,"Drug",3,NA,57,"50-100","2001-09-01","2001","2008-09-01","2008",7.00068446269678,"5-10 years","2001-09-01","2001",0,"Completed",3,"Completed","Yes",1,"The University of Texas Health Science Center, Houston","Other",4,"2",20892,"Bethesda","MD",39.002375,-77.10341,1,"US",1
"51","NCT00024921","Observational",2,NA,NA,"Other",4,NA,NA,NA,2100,"1,000-5,000",NA,NA,NA,NA,NA,NA,"2001-10-01","2001",NA,"Completed",3,"Completed","No",2,"NCRR","NIH",2,"2",63110,"Saint Louis","MO",38.622601,-90.26182,1,"US",1
"52","NCT00027287","Interventional",1,"Phase 1",2,"Diabetes",3,"Drug",NA,NA,60,"50-100","2001-11-01","2001","2002-12-01","2002",1.08145106091718,"1-2 years","2001-11-01","2001",0,"Completed",3,"Completed","Yes",1,"NEI","NIH",2,"1",20892,"Bethesda","MD",39.002375,-77.10341,1,"US",1
"53","NCT00029848","Interventional",1,"Phase 3",6,"Other",4,"Drug",NA,NA,1045,"1,000-5,000","2001-10-01","2001","2004-05-01","2004",2.58179329226557,"2-5 years","2002-01-01","2002",0.251882272416153,"Completed",3,"Completed","No",2,"Sanofi","Industry",1,"1",35209,"Birmingham","AL",33.468306,-86.80814,11,"US",1
"54","NCT00032474","Interventional",1,"Phase 1/Phase 2",3,"Type 2",2,"Drug",NA,NA,150,"100-1,000","2001-12-01","2001","2005-05-01","2005",3.41409993155373,"2-5 years","2002-03-01","2002",0.246406570841889,"Completed",3,"Completed","Yes",1,"NCCIH","NIH",2,"1",78229,"San Antonio","TX",29.499454,-98.57166,1,"US",1
"55","NCT00032487","Interventional",1,"Phase 3",6,"Type 2",2,"Drug",2,NA,1791,"1,000-5,000","2000-12-01","2000","2008-05-01","2008",7.41409993155373,"5-10 years","2002-03-01","2002",1.24572210814511,"Completed",3,"Completed","No",2,"VA Office of Research and Development","US Fed",3,"3",85012,"Phoenix","AZ",33.505251,-112.0703,2,"US",1
"56","NCT00034255","Interventional",1,"Phase 1/Phase 2",3,"Type 1",1,"Drug",NA,NA,62,"50-100","2001-12-01","2001",NA,NA,NA,NA,"2002-04-01","2002",0.331279945242984,"Completed",3,"Completed","No",2,"GMP Endotherapeutics","Industry",1,"1",92161,"San Diego","CA",32.871846,-117.229119,1,"US",1
"57","NCT00035542","Interventional",1,"Phase 3",6,"Type 2",2,"Drug",NA,NA,NA,NA,"2001-12-01","2001","2003-10-01","2003",1.83162217659138,"1-2 years","2002-05-01","2002",0.413415468856947,"Completed",3,"Completed","No",2,"Bristol-Myers Squibb","Industry",1,"1",35233,"Birmingham","AL",33.509623,-86.7997,1,"US",1
"58","NCT00035568","Interventional",1,"Phase 4",7,"Type 2",2,"Drug",NA,NA,NA,NA,"2002-02-01","2002","2003-06-01","2003",1.32785763175907,"1-2 years","2002-05-01","2002",0.243668720054757,"Completed",3,"Completed","No",2,"Bristol-Myers Squibb","Industry",1,"1",NA,NA,NA,NA,NA,1,"US",1
"59","NCT00035984","Interventional",1,"Phase 3",6,"Type 2",2,"Drug",4,NA,734,"100-1,000","2002-05-01","2002","2003-08-01","2003",1.25119780971937,"1-2 years","2002-05-01","2002",0,"Completed",3,"Completed","No",2,"AstraZeneca","Industry",1,"1",36207,"Anniston","AL",33.651673,-85.75895,1,"US",1
"60","NCT00036192","Interventional",1,"Phase 2",4,"Diabetes",3,"Drug",NA,NA,200,"100-1,000","2002-02-01","2002","2006-03-01","2006",4.0766598220397,"2-5 years","2002-05-01","2002",0.243668720054757,"Completed",3,"Completed","No",2,"Astellas Pharma Inc","Industry",1,"2",36360,"Ozark","AL",31.447119,-85.62908,1,"US",1
"61","NCT00036504","Interventional",1,"Phase 4",7,"Type 2",2,"Drug",NA,NA,100,"50-100","2001-08-01","2001","2002-08-01","2002",0.999315537303217,"<= 1 year","2002-05-01","2002",0.747433264887064,"Completed",3,"Completed","No",2,"Eli Lilly and Company","Industry",1,"1",NA,NA,NA,NA,NA,1,"US",1
"62","NCT00038727","Interventional",1,"Phase 3",6,"Diabetes",3,"Behavioral",3,NA,2779,"1,000-5,000","2002-09-01","2002","2025-01-01","2025",22.3353867214237,"10+ years","2002-06-01","2002",-0.251882272416153,"Active, not recruiting",1,"Active, not recruiting","Yes",1,"NIDDK","NIH",2,"5+",20852,"Rockville","MD",39.0509,-77.12261,1,"US",1
"63","NCT00039013","Interventional",1,"Phase 3",6,"Type 2",2,"Drug",4,NA,336,"100-1,000","2002-03-01","2002","2003-06-01","2003",1.25119780971937,"1-2 years","2002-06-01","2002",0.251882272416153,"Completed",3,"Completed","No",2,"AstraZeneca","Industry",1,"1",36207,"Anniston","AL",33.651673,-85.75895,1,"US",1
"64","NCT00039026","Interventional",1,"Phase 3",6,"Type 2",2,"Drug",4,NA,377,"100-1,000","2002-02-01","2002","2003-08-01","2003",1.49486652977413,"1-2 years","2002-06-01","2002",0.328542094455852,"Completed",3,"Completed","No",2,"AstraZeneca","Industry",1,"1",36207,"Anniston","AL",33.651673,-85.75895,1,"US",1
"65","NCT00042042","Interventional",1,"N/A",8,"Diabetes",3,"Behavioral",NA,NA,400,"100-1,000",NA,NA,NA,NA,NA,NA,"2002-07-01","2002",NA,"Unknown status",10,"Other","No",2,"NCRR","NIH",2,"3",27710,"Durham","NC",36.051155,-78.857651,1,"US",1
"66","NCT00042458","Interventional",1,"Phase 3",6,"Type 1",1,"Drug",2,NA,296,"100-1,000","2002-04-01","2002","2003-03-01","2003",0.914442162902122,"<= 1 year","2002-08-01","2002",0.334017796030116,"Completed",3,"Completed","No",2,"AstraZeneca","Industry",1,"1",85204,"Mesa","AZ",33.400127,-111.78594,1,"US",1
"67","NCT00042471","Interventional",1,"Phase 2",4,"Type 1",1,"Drug",1,NA,75,"50-100","2002-06-01","2002","2002-12-01","2002",0.501026694045175,"<= 1 year","2002-08-01","2002",0.167008898015058,"Completed",3,"Completed","No",2,"AstraZeneca","Industry",1,"1",NA,NA,NA,NA,NA,1,"US",1
"68","NCT00044148","Interventional",1,"Phase 2",4,"Other",4,"Drug",NA,NA,NA,NA,"2002-07-01","2002","2004-04-01","2004",1.75222450376454,"1-2 years","2002-08-01","2002",0.0848733744010951,"Completed",3,"Completed","No",2,"Chromaderm, Inc.","Industry",1,"1",NA,NA,NA,NA,NA,1,"US",1
"69","NCT00044395","Interventional",1,"Phase 3",6,"Other",4,"Drug",NA,NA,200,"100-1,000","2002-07-01","2002","2005-10-01","2005",3.25256673511294,"2-5 years","2002-08-01","2002",0.0848733744010951,"Completed",3,"Completed","No",2,"Eli Lilly and Company","Industry",1,"1",NA,NA,NA,NA,NA,9,"US",1
"70","NCT00044408","Interventional",1,"Phase 3",6,"Other",4,"Drug",NA,NA,200,"100-1,000","2002-07-01","2002","2005-10-01","2005",3.25256673511294,"2-5 years","2002-08-01","2002",0.0848733744010951,"Completed",3,"Completed","No",2,"Chromaderm, Inc.","Industry",1,"1",NA,NA,NA,NA,NA,8,"US",1
"71","NCT00044421","Interventional",1,"Phase 3",6,"Other",4,"Drug",NA,NA,400,"100-1,000","2002-07-01","2002","2006-10-01","2006",4.25188227241615,"2-5 years","2002-08-01","2002",0.0848733744010951,"Completed",3,"Completed","No",2,"Eli Lilly and Company","Industry",1,"1",NA,NA,NA,NA,NA,15,"US",1
"72","NCT00044447","Interventional",1,"Phase 3",6,"Type 2",2,"Drug",NA,NA,170,"100-1,000","2001-05-01","2001","2002-09-01","2002",1.33607118412047,"1-2 years","2002-08-01","2002",1.25119780971937,"Completed",3,"Completed","No",2,"Sanofi","Industry",1,"1",75230,"Dallas","TX",32.901176,-96.79054,1,"US",1
"73","NCT00044694","Interventional",1,"Phase 2",4,"Type 2",2,"Drug",8,NA,156,"100-1,000","2002-08-01","2002","2003-05-01","2003",0.747433264887064,"<= 1 year","2002-09-01","2002",0.0848733744010951,"Completed",3,"Completed","No",2,"AstraZeneca","Industry",1,"1",35209,"Birmingham","AL",33.468306,-86.80814,1,"US",1
"74","NCT00044707","Interventional",1,"Phase 2",4,"Type 2",2,"Drug",2,NA,24,"<=50","2002-08-01","2002","2002-09-01","2002",0.0848733744010951,"<= 1 year","2002-09-01","2002",0.0848733744010951,"Completed",3,"Completed","No",2,"AstraZeneca","Industry",1,"1",33301,"Fort Lauderdale","FL",26.121114,-80.13187,1,"US",1
"75","NCT00046462","Interventional",1,"Phase 3",6,"Diabetes",3,"Drug",NA,NA,240,"100-1,000","2001-11-01","2001","2004-12-01","2004",3.08281998631075,"2-5 years","2002-10-01","2002",0.914442162902122,"Completed",3,"Completed","No",2,"Sanofi","Industry",1,"1",8807,"Bridgewater","NJ",40.588097,-74.62253,1,"US",1
"76","NCT00046501","Interventional",1,"Phase 3",6,"Diabetes",3,"Drug",NA,NA,250,"100-1,000","2002-11-01","2002",NA,NA,NA,NA,"2002-10-01","2002",-0.0848733744010951,"Completed",3,"Completed","No",2,"Sanofi","Industry",1,"1",8807,"Bridgewater","NJ",40.588097,-74.62253,1,"US",1
"77","NCT00055042","Interventional",1,"Phase 1",2,"Other",4,"Drug",NA,NA,40,"<=50","2003-02-01","2003","2004-01-01","2004",0.914442162902122,"<= 1 year","2003-02-01","2003",0,"Completed",3,"Completed","Yes",1,"NEI","NIH",2,"1",20892,"Bethesda","MD",39.002375,-77.10341,1,"US",1
"78","NCT00057304","Interventional",1,"Phase 2",4,"Diabetes",3,"Drug",NA,NA,NA,NA,"2003-04-01","2003","2004-03-01","2004",0.917180013689254,"<= 1 year","2003-04-01","2003",0,"Completed",3,"Completed","No",2,"Hoffmann-La Roche","Industry",1,"1",33021,"Hollywood","FL",26.023634,-80.18922,9,"US",1
"79","NCT00057317","Interventional",1,"Phase 2",4,"Diabetes",3,"Drug",NA,NA,NA,NA,"2001-12-01","2001","2003-12-01","2003",1.99863107460643,"1-2 years","2003-04-01","2003",1.3305954825462,"Completed",3,"Completed","No",2,"Hoffmann-La Roche","Industry",1,"1",35801,"Huntsville","AL",34.72879,-86.57316,11,"US",1
"80","NCT00057499","Interventional",1,"Phase 1",2,"Type 1",1,"Biological",2,NA,12,"<=50","2003-03-01","2003","2007-03-01","2007",4,"2-5 years","2003-04-01","2003",0.0848733744010951,"Completed",3,"Completed","No",2,"NIAID","NIH",2,"2",2115,"Boston","MA",42.34308,-71.09268,1,"US",1
"81","NCT00058981","Interventional",1,"Phase 2",4,"Other",4,"Drug",NA,NA,100,"50-100","2002-10-01","2002","2007-05-01","2007",4.58042436687201,"2-5 years","2003-04-01","2003",0.498288843258042,"Terminated",9,"Other","No",2,"DeveloGen Israel, Ltd.","Industry",1,"1",35294,"Birmingham","AL",33.544622,-86.929208,1,"US",1
"82","NCT00060918","Interventional",1,"Phase 4",7,"Other",4,"Drug",NA,NA,1210,"1,000-5,000","2001-06-01","2001","2004-04-01","2004",2.83367556468172,"2-5 years","2003-05-01","2003",1.91375770020534,"Completed",3,"Completed","No",2,"GlaxoSmithKline","Industry",1,"1",85306,"Glendale","AZ",33.624546,-112.1767,1,"US",1
"83","NCT00060931","Interventional",1,"Phase 4",7,"Other",4,"Drug",NA,NA,501,"100-1,000","2001-06-01","2001","2004-04-01","2004",2.83367556468172,"2-5 years","2003-05-01","2003",1.91375770020534,"Completed",3,"Completed","No",2,"GlaxoSmithKline","Industry",1,"1",35211,"Birmingham","AL",33.479306,-86.85878,1,"US",1
